Category,Total,Destroyed,Damaged,Abandoned,Captured
Tanks,156,53,2,30,71
Armoured Fighting Vehicles,98,33,0,18,45
Infantry Fighting Vehicles,141,55,0,25,61
Armoured Personnel Carriers,55,16,0,10,29
Mine Resistant Ambush Protected MRAP Vehicles,6,2,0,1,3
Infantry Mobility Vehicles,35,18,1,2,12
Communications Stations,8,2,0,4,2
Engineering Vehicles,37,11,0,11,15
Anti Tank Guided Missiles,48,0,0,0,48
Man Portable Air Defence Systems,16,0,0,0,16
Heavy Mortars,5,0,0,0,5
Towed Artillery,25,4,0,3,18
Self Propelled Artillery,24,4,0,10,10
Multiple Rocket Launchers,19,8,0,2,9
Self propelled Anti Aircraft Guns,7,5,0,2,0
Surface To Air Missile Systems,24,9,1,5,9
Radars,1,1,0,0,0
Jammers And Deception Systems,1,0,1,0,0
Aircraft,11,11,0,0,0
Unmanned Aerial Vehicles,2,1,0,0,1
Helicopters,11,8,1,2,0
Logistics Trains,2,2,0,0,0
